Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
minimist;Original;-;1;0;2911;0;3785;0;0
minimist;RD;7;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;16;1;0;2907;0.0013740982480247338;3779;0.001585204755614267;0
minimist;RD;17;1;0;2894;0.005839917554105119;3769;0.004227212681638045;0
minimist;RD;18;1;0;2892;0.006526966678117485;3766;0.005019815059445178;0
minimist;RD;19;1;0;2907;0.0013740982480247338;3779;0.001585204755614267;0
minimist;RD;20;1;0;2906;0.0017176228100309172;3773;0.003170409511228534;0
minimist;RD;21;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;22;1;0;2894;0.005839917554105119;3769;0.004227212681638045;0
minimist;RD;24;1;0;2907;0.0013740982480247338;3776;0.0023778071334214002;0
minimist;RD;25;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;26;1;0;2894;0.005839917554105119;3769;0.004227212681638045;0
minimist;RD;29;1;0;2907;0.0013740982480247338;3779;0.001585204755614267;0
minimist;HC;22;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
