Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
minimist;Original;-;1;0;2911;0;3785;0;0
minimist;RD;18;1;0;2892;0.006526966678117485;3766;0.005019815059445178;0
minimist;GA;N/A;1;0;2911;0;3785;0;0
minimist;GA2;N/A;1;0;2911;0;3785;0;0
minimist;HC;22;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;HC2;N/A;1;0;2911;0;3785;0;0
minimist;HC3;N/A;1;0;2911;0;3785;0;0
minimist;HC4;N/A;1;0;2911;0;3785;0;0
minimist;HC5;N/A;1;0;2911;0;3785;0;0
minimist;HC52;N/A;1;0;2911;0;3785;0;0
