sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"50407",755,24244,"50407",755,24244,"181190,965",false
1,"50407",755,24244,"50407",755,24244,"181190,965",false
2,"80981",755,24244,"80981",755,24244,"205996,027",false
3,"50314",755,24244,"50314",755,24244,"145094,74",false
4,"50403",755,24244,"50403",755,24244,"183686,298",false
5,"53512",755,24244,"53512",755,24244,"179953,328",false
6,"50725",755,24244,"50725",755,24244,"165115,92",false
7,"51896",755,24244,"51896",755,24244,"166308,779",false
8,"51100",755,24244,"51100",755,24244,"145450,126",false
9,"55375",755,24244,"54645",754,24227,"181861,009",true
10,"53392",755,24244,"53392",755,24244,"177977,466",false
11,"53392",755,24244,"53392",755,24244,"177977,466",false
12,"51328",755,24244,"51328",755,24244,"181529,287",false
13,"56705",755,24244,"56705",755,24244,"176532,443",false
14,"57441",755,24244,"57441",755,24244,"173979,444",false
15,"54276",755,24244,"54276",755,24244,"149907,064",false
16,"57487",755,24244,"57487",755,24244,"183455,841",false
17,"57349",755,24244,"57349",755,24244,"174097,363",false
18,"61092",755,24244,"61092",755,24244,"177363,815",false
19,"59721",755,24244,"59721",755,24244,"160781,405",false
20,"57950",755,24244,"57950",755,24244,"172649,888",false
21,"61120",755,24244,"61120",755,24244,"177412,564",false
22,"62701",755,24244,"62701",755,24244,"182796,017",false
23,"61713",755,24244,"61713",755,24244,"177755,185",false
24,"56315",755,24244,"56315",755,24244,"166843,987",false
25,"60382",755,24244,"60382",755,24244,"182454,692",false
26,"63339",755,24244,"63339",755,24244,"289671,121",false
27,"63783",755,24244,"63783",755,24244,"177406,839",false
28,"63733",755,24244,"63733",755,24244,"182130,128",false
29,"62831",755,24244,"62831",755,24244,"171344,394",false
30,"60956",755,24244,"60956",755,24244,"180380,724",false
31,"64603",755,24244,"64603",755,24244,"164216,84",false
32,"69360",755,24244,"69360",755,24244,"165878,512",false
33,"64270",755,24244,"64270",755,24244,"127384,473",false
34,"64384",755,24244,"64384",755,24244,"177408,936",false
35,"66057",755,24244,"66057",755,24244,"171278,121",false
36,"62973",755,24244,"62973",755,24244,"166073,505",false
37,"64056",755,24244,"64056",755,24244,"177155,457",false
38,"63338",755,24244,"63338",755,24244,"167502,182",false
39,"77352",755,24244,"77352",755,24244,"176183,873",false
40,"53392",755,24244,"53392",755,24244,"177977,466",false
41,"66511",755,24244,"66511",755,24244,"165954,315",false
42,"91177",755,24244,"91177",755,24244,"177294,952",false
43,"68658",755,24244,"68658",755,24244,"176431,223",false
44,"53392",755,24244,"53392",755,24244,"177977,466",false
45,"73047",755,24244,"73047",755,24244,"170529,063",false
46,"100452",755,24244,"100452",755,24244,"179362,855",false
47,"65576",755,24244,"65576",755,24244,"157944,265",false
48,"71223",755,24244,"71223",755,24244,"176123,905",false
49,"71371",755,24244,"71371",755,24244,"178190,332",false
50,"80373",755,24244,"80373",755,24244,"163398,412",false
51,"74698",755,24244,"74698",755,24244,"146216,677",false
52,"89995",755,24244,"89995",755,24244,"166365,229",false
53,"90409",755,24244,"90409",755,24244,"164740,121",false
54,"70925",755,24244,"70925",755,24244,"151030,767",false
55,"84927",755,24244,"84927",755,24244,"160107,484",false
56,"91726",755,24244,"91726",755,24244,"179466,648",false
57,"96643",755,24244,"73625",754,24199,"178828,68",true
58,"84845",755,24244,"84845",755,24244,"168228,053",false
59,"110443",755,24244,"62336",755,24244,"180562,733",false
