sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
47,"135566",755,24244,"135566",755,24244,"7345,865",false
48,"134897",755,24244,"134897",755,24244,"7426,726",false
49,"129829",755,24244,"129829",755,24244,"7956,188",false
50,"145948",755,24244,"58747",755,24222,"6540,664",true
50,"57029",755,24244,"57029",755,24244,"2295,221",false
51,"57014",755,24244,"54994",755,24226,"1946,311",true
52,"56207",755,24244,"56207",755,24244,"2069,784",false
53,"52821",755,24244,"52821",755,24244,"2277,256",false
54,"62051",755,24244,"60853",755,24224,"2224,318",true
55,"56526",755,24244,"56526",755,24244,"2263,749",false
56,"63576",755,24244,"59337",755,24222,"2127,166",true
57,"61046",755,24244,"58503",755,24218,"2206,015",true
58,"58011",755,24244,"58011",755,24244,"2193,013",false
59,"51180",755,24244,"51180",755,24244,"1874,525",false
60,"51807",755,24244,"51807",755,24244,"1899,49",false
61,"51809",755,24244,"51809",755,24244,"1924,342",false
