trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;50655;755;24244;50655;755;24244;1732,9;false
1;50226;755;24244;50226;755;24244;1783,39;false
2;52191;755;24244;52191;755;24244;1791,24;false
3;50743;755;24244;50743;755;24244;1785,935;false
4;51990;755;24244;51990;755;24244;1999,328;false
5;54895;755;24244;54895;755;24244;2216,299;false
6;54806;755;24244;54806;755;24244;2591,559;false
7;57922;755;24244;57922;755;24244;2931,406;false
8;61591;755;24244;61591;755;24244;3257,204;false
9;64689;755;24244;64689;755;24244;3553,318;false
10;68315;755;24244;68315;755;24244;3978,424;false
11;72762;755;24244;72762;755;24244;4205,396;false
12;74715;755;24244;74715;755;24244;4382,829;false
13;73865;755;24244;73865;755;24244;4594,867;false
14;80254;755;24244;80254;755;24244;4790,384;false
15;79166;755;24244;79166;755;24244;5054,215;false
16;82333;755;24244;82333;755;24244;4947,251;false
17;82248;755;24244;82248;755;24244;5050,75;false
18;83927;755;24244;83927;755;24244;5205,061;false
19;84423;755;24244;84423;755;24244;5397,752;false
20;91190;755;24244;91190;755;24244;5961,845;false
21;109041;755;24244;109041;755;24244;6193,769;false
22;169906;755;24244;127458;755;24216;5861,033;true
23;95889;755;24244;95889;755;24244;6044,67;false
24;150026;755;24244;150026;755;24244;6314,37;false
25;123454;755;24244;123454;755;24244;6323,632;false
26;136773;755;24244;136773;755;24244;6417,837;false
27;121734;755;24244;121734;755;24244;6739,628;false
28;148452;755;24244;148452;755;24244;6876,509;false
29;154935;755;24244;154935;755;24244;6861,039;false
30;149146;755;24244;149146;755;24244;6915,421;false
31;145133;755;24244;145133;755;24244;6913,746;false
32;151491;755;24244;151491;755;24244;6891,863;false
33;164453;755;24244;164453;755;24244;6998,477;false
34;145798;755;24244;145798;755;24244;6998,912;false
35;135547;755;24244;135547;755;24244;7343,247;false
36;135137;755;24244;135137;755;24244;7428,085;false
37;125610;755;24244;125610;755;24244;7952,895;false
38;158389;755;24244;57549;755;24222;6536,133;true
39;135555;755;24244;135555;755;24244;7367,914;false
40;118001;755;24244;118001;755;24244;7422,887;false
41;145268;755;24244;145268;755;24244;7926,319;false
42;185838;755;24244;57563;755;24222;6515,669;true
43;55269;755;24244;50459;755;24219;1776,106;true
44;49845;755;24244;49845;755;24244;1747,272;false
45;49961;755;24244;49961;755;24244;1748,533;false
46;49964;755;24244;49964;755;24244;1809,736;false
47;135566;755;24244;135566;755;24244;7345,865;false
48;134897;755;24244;134897;755;24244;7426,726;false
49;129829;755;24244;129829;755;24244;7956,188;false
50;145948;755;24244;58747;755;24222;6540,664;true
