sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"57805",755,24244,"55904",753,24195,"30919,339",true
1,"49857",755,24244,"49857",755,24244,"25421,917",false
2,"54112",755,24244,"51344",754,24212,"20772,631",true
3,"50510",755,24244,"50510",755,24244,"28836,975",false
4,"51782",755,24244,"51782",755,24244,"26062,613",false
5,"51192",755,24244,"51192",755,24244,"21505,378",false
6,"54874",755,24244,"53485",748,24032,"27322,283",true
7,"52300",755,24244,"52233",755,24234,"25725,595",true
8,"52943",755,24244,"51929",755,24229,"26867,558",true
9,"51903",755,24244,"51903",755,24244,"26615,755",false
10,"51681",755,24244,"51681",755,24244,"23693,916",false
11,"52772",755,24244,"52273",755,24221,"28842,794",true
12,"51970",755,24244,"51970",755,24244,"26453,638",false
13,"56705",755,24244,"53073",754,24205,"24039,204",true
14,"53286",755,24244,"53286",755,24244,"27181,198",false
15,"51411",755,24244,"51411",755,24244,"24642,232",false
16,"53436",755,24244,"53436",755,24244,"29264,217",false
17,"55970",755,24244,"53775",753,24153,"25933,772",true
18,"51286",755,24244,"51286",755,24244,"25063,875",false
19,"51225",755,24244,"51225",755,24244,"30549,582",false
20,"53031",755,24244,"53031",755,24244,"23959,569",false
21,"55658",755,24244,"55169",755,24238,"25265,97",true
22,"57333",755,24244,"57333",755,24244,"28588,358",false
23,"53936",755,24244,"53936",755,24244,"24589,96",false
24,"53997",755,24244,"53997",755,24244,"28748,776",false
25,"56132",755,24244,"55351",755,24218,"26189,88",true
26,"58540",755,24244,"58540",755,24244,"26542,954",false
27,"54457",755,24244,"54457",755,24244,"24143,391",false
28,"56404",755,24244,"56404",755,24244,"27227,709",false
29,"57553",755,24244,"57553",755,24244,"27420,355",false
30,"55443",755,24244,"55443",755,24244,"24984,514",false
31,"60853",755,24244,"60853",755,24244,"27475",false
32,"59304",755,24244,"59304",755,24244,"26273,762",false
33,"56687",755,24244,"56687",755,24244,"25847,208",false
34,"79886",755,24244,"52311",754,24121,"33064,035",true
35,"57634",755,24244,"57634",755,24244,"27768,519",false
36,"63252",755,24244,"56875",755,24201,"28637,495",true
37,"62531",755,24244,"62531",755,24244,"27342,718",false
38,"71704",755,24244,"68782",755,24224,"28092,309",true
39,"59063",755,24244,"59063",755,24244,"24201,085",false
40,"64850",755,24244,"64850",755,24244,"27614,3",false
41,"103868",755,24244,"98686",746,23890,"42488,256",true
42,"55948",755,24244,"55948",755,24244,"24237,197",false
43,"65593",755,24244,"64643",752,24119,"27795,609",true
44,"66129",755,24244,"66129",755,24244,"26514,822",false
45,"67272",755,24244,"67272",755,24244,"25883,624",false
46,"65317",755,24244,"58401",753,24189,"27550,533",true
47,"62747",755,24244,"62747",755,24244,"22637,911",false
48,"67807",755,24244,"67807",755,24244,"25192,318",false
49,"65111",755,24244,"62456",754,24172,"21869,557",true
50,"66371",755,24244,"66371",755,24244,"25774,849",false
51,"70402",755,24244,"70402",755,24244,"27324,754",false
52,"68042",755,24244,"58822",751,24049,"29295,349",true
53,"68333",755,24244,"57571",746,23829,"28072,598",true
54,"62877",755,24244,"62877",755,24244,"24580,3",false
55,"71074",755,24244,"56864",750,24088,"28491,927",true
56,"69648",755,24244,"67645",755,24237,"25222,217",true
57,"89734",755,24244,"65254",740,23676,"26507,15",true
58,"64544",755,24244,"64544",755,24244,"24427,803",false
59,"67395",755,24244,"63940",750,24055,"26452,016",true
