Rodada;Algoritmo;min;max;media;mediana;duracao
0;original;77.17;84.652;80.033;79.777;2393.3
0;RD;77.113;80.618;77.61;78.083;2.342.495
2;RD;76.786;81.119;77.61;77.874;2.336.208
6;RD;76.774;95.673;78.158;80.604;2418.11
7;RD;77.308;80.763;77.968;78.515;2.355.459
8;RD;77.117;80.72;77.956;78.446;2.353.378
11;RD;77.221;81.231;80.37;79.781;2.393.415
13;RD;76.881;80.768;77.565;77.787;2.333.621
17;RD;77.338;81.173;78.015;78.22;2.346.595
21;RD;77.03;81.182;77.74;78.053;2.341.594
25;RD;76.789;81.123;77.787;78.442;2.353.262
34;RD;77.058;78.488;77.479;77.609;2.328.279
36;RD;77.048;80.881;78.106;78.822;2.364.664
38;RD;77.205;81.455;79.76;79.181;2.375.438
41;RD;77.07;80.149;77.738;78;2.340.013
43;RD;77.335;80.968;77.724;78.183;2.345.475
46;RD;76.918;96.06;77.747;80.695;2.420.841
49;RD;77.092;77.955;77.57;77.588;2.327.649
52;RD;77.088;81.426;77.649;77.847;2.335.407
53;RD;77.011;78.37;77.592;77.676;2.330.293
55;RD;77.031;80.946;77.947;78.598;2.357.937
56;RD;77.355;80.133;77.833;78.062;2.341.854
57;RD;76.985;80.625;77.735;78.098;2.342.947
22;HC;77.02;80.288;77.747;77.951;2.338.522
38;HC;77.234;79.95;77.659;77.798;2.333.932
42;HC;77.142;80.996;77.857;78.705;2.361.139
43;HC;76.946;78.771;77.577;77.646;2.329.394
51;HC;76.853;78.536;77.601;77.642;2.329.263
54;HC;76.769;81.323;77.98;78.109;2.343.268
56;HC;77;81.01;79.759;79.139;2.374.161
57;HC;77.184;80.846;77.824;78.194;2.345.822
9;GA;77.136;80.93;77.922;78.314;2.349.427
57;GA;76.969;80.656;77.653;77.928;2.337.826
