sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"874",928,29854,"747",928,29869,"2884,174",true
1,"1101",928,29854,"714",928,29843,"2656,766",true
2,"1158",928,29854,"768",932,29935,"5088,567",true
3,"1433",928,29854,"747",925,29798,"5090,05",true
4,"1017",928,29854,"746",928,29853,"5084,66",true
5,"1110",928,29854,"758",928,29872,"5139,669",true
6,"1053",928,29854,"774",928,29797,"5133,152",true
7,"1039",928,29854,"852",928,29832,"5093,198",true
8,"1054",928,29854,"749",928,29854,"4934,357",false
9,"2514",928,29854,"804",928,29859,"5121,576",true
10,"1087",928,29854,"853",928,29854,"5082,684",false
11,"3138",928,29854,"830",928,29854,"5113,553",false
12,"1947",928,29854,"767",928,29854,"4899,722",false
13,"1323",928,29854,"805",928,29850,"5109,721",true
14,"1988",928,29854,"795",928,29854,"5137,673",false
15,"827",928,29854,"827",928,29854,"5132,423",false
16,"999",928,29854,"751",928,29848,"5056,228",true
17,"836",928,29854,"836",928,29854,"5068,13",false
18,"825",928,29854,"825",928,29854,"5160,447",false
19,"930",928,29854,"930",928,29854,"5202,601",false
20,"859",928,29854,"859",928,29854,"5029,426",false
21,"869",928,29854,"869",928,29854,"5041,576",false
22,"861",928,29854,"861",928,29854,"5070,111",false
23,"971",928,29854,"971",928,29854,"5192,076",false
24,"1199",928,29854,"1199",928,29854,"4995,83",false
25,"1178",928,29854,"1178",928,29854,"5081,069",false
26,"962",928,29854,"962",928,29854,"4999,374",false
27,"1083",928,29854,"1083",928,29854,"5050,154",false
28,"782",928,29854,"782",928,29854,"5024,387",false
29,"782",928,29854,"782",928,29854,"5104,357",false
30,"1028",928,29854,"1028",928,29854,"5138,846",false
31,"802",928,29854,"802",928,29854,"5153,233",false
32,"1118",928,29854,"1118",928,29854,"5010,461",false
33,"1200",928,29854,"1200",928,29854,"5178,19",false
34,"780",928,29854,"780",928,29854,"5100,712",false
35,"761",928,29854,"700",928,29854,"3538,389",false
36,"883",928,29854,"883",928,29854,"5026,599",false
37,"833",928,29854,"833",928,29854,"5081,815",false
38,"772",928,29854,"772",928,29854,"5031,208",false
39,"803",928,29854,"803",928,29854,"5027,232",false
40,"1113",928,29854,"1113",928,29854,"5085,218",false
41,"1170",928,29854,"1170",928,29854,"5001,649",false
42,"777",928,29854,"777",928,29854,"5151,598",false
43,"944",928,29854,"944",928,29854,"5074,519",false
44,"1102",928,29854,"967",927,29791,"5185,299",true
45,"1210",928,29854,"988",928,29844,"5050,832",true
46,"877",928,29854,"877",928,29854,"5163,789",false
47,"851",928,29854,"851",928,29854,"5107,081",false
48,"805",928,29854,"805",928,29854,"5132,88",false
49,"1005",928,29854,"1005",928,29854,"5137,549",false
50,"852",928,29854,"852",928,29854,"5036,304",false
51,"946",928,29854,"946",928,29854,"5173,957",false
52,"1176",928,29854,"1151",928,29844,"5073,263",true
53,"950",928,29854,"950",928,29854,"5112,916",false
54,"993",928,29854,"993",928,29854,"5076,182",false
55,"1053",928,29854,"1053",928,29854,"5150,524",false
56,"2541",928,29854,"1502",928,29854,"4981,176",false
57,"1043",928,29854,"1043",928,29854,"5123,893",false
58,"898",928,29854,"898",928,29854,"4928,074",false
59,"913",928,29854,"913",928,29854,"5059,382",false
