sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"775",928,29854,"718",926,29729,"38,804",true
1,"695",928,29854,"695",928,29854,"39,374",false
2,"740",928,29854,"701",926,29729,"41,409",true
3,"807",928,29854,"700",928,29813,"50,914",true
4,"695",928,29854,"695",928,29854,"43,283",false
5,"700",928,29854,"700",928,29854,"39,927",false
6,"699",928,29854,"699",928,29854,"41,125",false
7,"709",928,29854,"709",928,29854,"40,095",false
8,"698",928,29854,"698",928,29854,"42,469",false
9,"698",928,29854,"698",928,29854,"39,998",false
10,"723",928,29854,"710",926,29729,"36,867",true
11,"710",928,29854,"708",926,29729,"35,74",true
12,"722",928,29854,"698",928,29819,"43,955",true
13,"697",928,29854,"697",928,29854,"38,6",false
14,"709",928,29854,"709",928,29854,"39,267",false
15,"705",928,29854,"705",928,29854,"39,956",false
16,"700",928,29854,"700",928,29854,"38,093",false
17,"1045",928,29854,"712",928,29819,"43,766",true
18,"706",928,29854,"706",928,29854,"38,211",false
19,"819",928,29854,"712",926,29729,"41,074",true
20,"711",928,29854,"695",926,29729,"36,088",true
21,"715",928,29854,"714",925,29749,"41,798",true
22,"699",928,29854,"699",928,29854,"40,157",false
23,"704",928,29854,"704",928,29854,"41,068",false
24,"703",928,29854,"703",928,29854,"38,161",false
25,"707",928,29854,"707",928,29854,"38,15",false
26,"704",928,29854,"704",928,29854,"37,946",false
27,"701",928,29854,"701",928,29854,"38,074",false
28,"702",928,29854,"702",928,29854,"40,146",false
29,"709",928,29854,"709",928,29854,"38,949",false
30,"699",928,29854,"699",928,29854,"39,217",false
31,"708",928,29854,"708",928,29854,"40,665",false
32,"722",928,29854,"705",928,29813,"41,963",true
33,"806",928,29854,"705",924,29747,"46,099",true
34,"903",928,29854,"705",928,29813,"44,195",true
35,"704",928,29854,"704",928,29854,"39,417",false
36,"703",928,29854,"703",928,29854,"39,304",false
37,"703",928,29854,"703",928,29854,"39,262",false
38,"836",928,29854,"720",926,29729,"39,855",true
39,"1418",928,29854,"708",926,29729,"42,2",true
40,"750",928,29854,"724",926,29729,"41,337",true
41,"715",928,29854,"713",928,29829,"43,738",true
42,"696",928,29854,"696",928,29854,"40,843",false
43,"707",928,29854,"707",928,29854,"39,235",false
44,"721",928,29854,"705",926,29729,"38,823",true
45,"716",928,29854,"716",928,29854,"39,97",false
46,"704",928,29854,"704",928,29854,"39,342",false
47,"723",928,29854,"720",926,29729,"37,758",true
48,"714",928,29854,"712",926,29729,"37,632",true
49,"717",928,29854,"717",928,29854,"44,619",false
50,"752",928,29854,"714",928,29829,"39,875",true
51,"713",928,29854,"713",928,29854,"39,247",false
52,"710",928,29854,"710",928,29854,"39,22",false
53,"721",928,29854,"718",926,29729,"37,594",true
54,"721",928,29854,"717",928,29829,"48,579",true
55,"702",928,29854,"702",928,29854,"41,754",false
56,"715",928,29854,"715",928,29854,"44,473",false
57,"704",928,29854,"704",928,29854,"39,344",false
58,"710",928,29854,"710",928,29854,"44,464",false
59,"708",928,29854,"708",928,29854,"39,102",false
