trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;1307;928;29854;725;925;29739;4279,177;true
1;1125;928;29854;723;920;29504;3967,679;true
2;841;928;29854;734;926;29787;4175,774;true
3;883;928;29854;748;921;29500;4365,106;true
4;953;928;29854;737;914;29387;3886,697;true
5;991;928;29854;745;926;29769;4833,54;true
6;1657;928;29854;741;926;29715;4478,188;true
7;1185;928;29854;743;923;29577;4699,932;true
8;1138;928;29854;753;922;29623;5612,572;true
9;1173;928;29854;757;920;29478;5311,084;true
10;966;928;29854;783;926;29703;5309,699;true
11;801;928;29854;727;923;29766;6380,661;true
12;1300;928;29854;790;925;29745;5218,126;true
13;941;928;29854;797;922;29625;4748,35;true
14;1352;928;29854;883;925;29752;6180,97;true
15;1183;928;29854;951;927;29782;6548,653;true
16;985;928;29854;924;928;29844;7157,864;true
17;1082;928;29854;979;928;29844;7456,706;true
18;1202;928;29854;983;926;29754;7870,426;true
19;857;928;29854;689;919;29477;3178,166;true
20;701;928;29854;687;925;29750;3165,767;true
21;695;928;29854;691;928;29836;3150,415;true
22;703;928;29854;691;924;29643;3151,002;true
23;701;928;29854;695;923;29657;3164,933;true
24;698;928;29854;695;924;29716;3133,414;true
25;703;928;29854;694;922;29586;3140,325;true
26;703;928;29854;694;926;29743;3167,755;true
27;777;928;29854;696;926;29655;5646,355;true
28;772;928;29854;696;926;29722;3227,937;true
29;713;928;29854;693;916;29341;3230,906;true
30;702;928;29854;695;928;29838;3352,998;true
31;825;928;29854;694;928;29783;3271,705;true
32;706;928;29854;706;928;29854;3208,405;false
33;811;928;29854;699;923;29599;3171,086;true
34;751;928;29854;698;917;29452;3155,965;true
35;698;928;29854;698;928;29854;3198,239;false
36;704;928;29854;700;926;29789;3199,356;true
37;717;928;29854;697;921;29577;3178,865;true
38;702;928;29854;700;927;29796;3207,655;true
39;709;928;29854;701;928;29846;3216,341;true
40;715;928;29854;707;928;29794;3222,715;true
41;717;928;29854;705;926;29760;3223,728;true
42;714;928;29854;708;926;29775;3511,647;true
43;968;928;29854;722;919;29468;3416,129;true
44;4635;928;29854;707;926;29775;3516,577;true
45;889;928;29854;715;921;29519;3580,907;true
46;889;928;29854;715;921;29519;3580,907;true
47;877;928;29854;720;926;29768;3526,116;true
48;832;928;29854;724;920;29547;3413,486;true
49;899;928;29854;724;926;29712;3335,714;true
50;941;928;29854;728;922;29501;3310,407;true
51;1020;928;29854;724;923;29725;3257,464;true
52;863;928;29854;731;920;29575;3225,558;true
53;764;928;29854;722;927;29780;3792,565;true
54;855;928;29854;716;925;29634;4540,376;true
55;821;928;29854;717;925;29683;3612,514;true
56;802;928;29854;742;922;29725;4549,164;true
57;827;928;29854;723;926;29769;4502,274;true
58;828;928;29854;730;924;29668;4583,771;true
59;845;928;29854;730;926;29733;4799,256;true
