Rodada;Algoritmo;min;max;media;mediana;duracao
0;original;0,847;0,869;0,859;0,859;25.763
0;RD;0,85;0,874;0,859;0,86;25.803
1;RD;0,845;0,952;0,856;0,861;25.830
2;RD;0,847;0,88;0,859;0,86;25.792
3;RD;0,848;0,936;0,856;0,861;25.839
4;RD;0,849;0,875;0,858;0,859;25.755
5;RD;0,847;0,879;0,856;0,858;25.737
6;RD;0,848;0,867;0,858;0,858;25.737
7;RD;0,848;0,881;0,859;0,859;25.773
8;RD;0,846;0,925;0,858;0,862;25.848
9;RD;0,844;0,874;0,86;0,86;25.798
10;RD;0,849;0,9;0,857;0,86;25.793
11;RD;0,847;0,898;0,86;0,861;25.845
12;RD;0,849;0,879;0,859;0,86;25.792
13;RD;0,846;0,874;0,858;0,858;25.750
14;RD;0,845;0,903;0,858;0,861;25.819
15;RD;0,849;0,868;0,858;0,858;25.742
16;RD;0,851;0,876;0,858;0,861;25.827
17;RD;0,848;0,882;0,856;0,857;25.716
18;RD;0,849;0,873;0,857;0,858;25.737
19;RD;0,847;0,89;0,857;0,859;25.774
20;RD;0,848;0,906;0,857;0,86;25.790
21;RD;0,85;0,876;0,86;0,861;25.826
22;RD;0,851;0,874;0,858;0,86;25.789
23;RD;0,844;0,871;0,855;0,856;25.683
24;RD;0,85;0,878;0,857;0,859;25.758
25;RD;0,85;0,872;0,859;0,859;25.764
26;RD;0,841;0,868;0,858;0,858;25.727
27;RD;0,847;0,874;0,858;0,858;25.747
28;RD;0,85;0,91;0,859;0,862;25.869
29;RD;0,85;0,878;0,857;0,858;25.751
30;RD;0,843;1.081;0,857;0,866;25.983
31;RD;0,849;0,896;0,857;0,86;25.801
33;RD;0,849;0,879;0,859;0,86;25.795
34;RD;0,849;0,889;0,859;0,86;25.797
36;RD;0,852;0,893;0,858;0,862;25.860
37;RD;0,85;0,877;0,859;0,86;25.804
38;RD;0,848;0,889;0,86;0,862;25.845
39;RD;0,842;0,92;0,856;0,858;25.742
40;RD;0,846;0,902;0,861;0,865;25.960
41;RD;0,848;0,884;0,86;0,862;25.859
42;RD;0,847;0,872;0,86;0,861;25.817
43;RD;0,847;0,9;0,859;0,862;25.857
44;RD;0,848;0,878;0,858;0,859;25.782
45;RD;0,852;0,872;0,859;0,86;25.800
46;RD;0,85;0,877;0,859;0,861;25.820
47;RD;0,843;0,876;0,857;0,857;25.701
48;RD;0,849;0,882;0,859;0,86;25.799
49;RD;0,848;0,879;0,856;0,859;25.765
50;RD;0,848;0,882;0,859;0,859;25.763
51;RD;0,846;0,917;0,857;0,86;25.814
52;RD;0,845;0,88;0,86;0,861;25.816
53;RD;0,848;0,876;0,859;0,858;25.755
54;RD;0,845;0,868;0,857;0,857;25.703
55;RD;0,85;0,906;0,86;0,861;25.833
56;RD;0,847;0,882;0,86;0,86;25.801
57;RD;0,845;0,875;0,859;0,859;25.773
58;RD;0,848;0,899;0,859;0,861;25.818
0;HC;0,849;0,877;0,858;0,859;25.782
2;HC;0,844;0,881;0,859;0,86;25.804
3;HC;0,849;0,875;0,858;0,859;25.763
10;HC;0,848;0,886;0,857;0,858;25.746
11;HC;0,845;0,96;0,858;0,863;25.882
12;HC;0,847;0,89;0,856;0,858;25.748
17;HC;0,845;0,877;0,856;0,857;25.709
19;HC;0,847;0,874;0,858;0,858;25.747
20;HC;0,847;0,886;0,857;0,86;25.790
21;HC;0,847;0,873;0,859;0,859;25.760
32;HC;0,847;0,879;0,858;0,859;25.775
33;HC;0,845;0,869;0,857;0,857;25.724
34;HC;0,848;0,876;0,858;0,859;25.769
38;HC;0,846;0,881;0,857;0,858;25.740
39;HC;0,846;0,874;0,857;0,858;25.746
40;HC;0,845;0,89;0,861;0,863;25.891
41;HC;0,844;0,907;0,857;0,859;25.772
44;HC;0,847;0,871;0,857;0,858;25.748
47;HC;0,845;0,883;0,861;0,863;25.881
48;HC;0,845;0,876;0,856;0,857;25.703
50;HC;0,851;0,875;0,857;0,859;25.761
53;HC;0,844;0,898;0,857;0,859;25.780
54;HC;0,848;0,878;0,859;0,86;25.787
0;GA;0,848;0,88;0,858;0,859;25.771
1;GA;0,833;0,949;0,912;0,903;27.077
2;GA;0,905;0,942;0,917;0,92;27.597
3;GA;0,908;0,95;0,918;0,92;27.592
4;GA;0,898;0,944;0,914;0,917;27.510
5;GA;0,858;0,933;0,918;0,914;27.431
6;GA;0,901;0,936;0,919;0,919;27.575
7;GA;0,894;0,94;0,92;0,918;27.551
9;GA;0,896;0,941;0,917;0,92;27.589
13;GA;0,901;0,934;0,918;0,917;27.523
16;GA;0,906;0,945;0,919;0,92;27.589
44;GA;0,886;0,929;0,915;0,912;27.369
45;GA;0,892;0,935;0,914;0,914;27.419
52;GA;0,894;0,96;0,917;0,918;27.531
