sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"6056",282,10049,"6056",282,10049,"72,023",false
1,"5989",282,10049,"5989",282,10049,"70,346",false
2,"5911",282,10049,"5911",282,10049,"78,243",false
3,"6307",282,10049,"6307",282,10049,"77,284",false
4,"5983",282,10049,"5983",282,10049,"75,723",false
5,"6070",282,10049,"6070",282,10049,"74,486",false
6,"6052",282,10049,"6052",282,10049,"76,903",false
7,"5979",282,10049,"5979",282,10049,"74,308",false
8,"5915",282,10049,"5915",282,10049,"75,564",false
9,"5961",282,10049,"5961",282,10049,"76,178",false
10,"5867",282,10049,"5867",282,10049,"74,01",false
11,"5920",282,10049,"5920",282,10049,"74,717",false
12,"5843",282,10049,"5843",282,10049,"75,731",false
13,"6119",282,10049,"6119",282,10049,"75,015",false
14,"5944",282,10049,"5944",282,10049,"76,12",false
15,"5956",282,10049,"5956",282,10049,"77,293",false
16,"5966",282,10049,"5966",282,10049,"76,341",false
17,"5890",282,10049,"5890",282,10049,"80,656",false
18,"6117",282,10049,"6117",282,10049,"69,301",false
19,"5889",282,10049,"5889",282,10049,"65,696",false
20,"5944",282,10049,"5944",282,10049,"66,012",false
21,"5874",282,10049,"5874",282,10049,"67,123",false
22,"5857",282,10049,"5857",282,10049,"65,868",false
23,"6117",282,10049,"6117",282,10049,"63,697",false
24,"6277",282,10049,"6277",282,10049,"65,966",false
25,"5631",282,10049,"5631",282,10049,"62,599",false
26,"5655",282,10049,"5655",282,10049,"62,857",false
27,"5738",282,10049,"5738",282,10049,"63,128",false
28,"5897",282,10049,"5897",282,10049,"63,684",false
29,"5658",282,10049,"5658",282,10049,"65,056",false
30,"5679",282,10049,"5679",282,10049,"63,679",false
31,"5720",282,10049,"5720",282,10049,"63,06",false
32,"5675",282,10049,"5675",282,10049,"62,821",false
33,"5724",282,10049,"5724",282,10049,"62,672",false
34,"5821",282,10049,"5821",282,10049,"62,715",false
35,"5653",282,10049,"5653",282,10049,"65,105",false
36,"5740",282,10049,"5740",282,10049,"63,647",false
37,"5755",282,10049,"5755",282,10049,"63,061",false
38,"5645",282,10049,"5645",282,10049,"61,101",false
39,"5812",282,10049,"5812",282,10049,"63,852",false
40,"5716",282,10049,"5716",282,10049,"62,906",false
41,"5566",282,10049,"5566",282,10049,"60,903",false
42,"5764",282,10049,"5764",282,10049,"62,876",false
43,"5734",282,10049,"5734",282,10049,"63,589",false
44,"5791",282,10049,"5791",282,10049,"62,908",false
45,"5665",282,10049,"5665",282,10049,"62,802",false
46,"5760",282,10049,"5760",282,10049,"71,147",false
47,"5768",282,10049,"5768",282,10049,"66,705",false
48,"5750",282,10049,"5750",282,10049,"63,76",false
49,"6960",282,10049,"6918",1,0,"43,134",true
50,"5824",282,10049,"5824",282,10049,"90,49",false
51,"5689",282,10049,"5689",282,10049,"62,724",false
52,"5744",282,10049,"5744",282,10049,"63,013",false
53,"5658",282,10049,"5658",282,10049,"66,156",false
54,"5772",282,10049,"5772",282,10049,"69,272",false
55,"6050",282,10049,"6050",282,10049,"66,88",false
56,"5833",282,10049,"5833",282,10049,"64,206",false
57,"5645",282,10049,"5645",282,10049,"63,892",false
58,"5807",282,10049,"5807",282,10049,"63,955",false
59,"5863",282,10049,"5863",282,10049,"65,754",false
