sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"14756",1481,59479,"14756",1481,59479,"60591,348",false
1,"74408",1481,59479,"52484",1481,59479,"60523,446",false
2,"7956",1481,59479,"7956",1481,59479,"46409,683",false
3,"10833",1481,59479,"10833",1481,59479,"49938,825",false
4,"6719",1481,59479,"6719",1481,59479,"46215,427",false
5,"28292",1481,59479,"14638",1481,59412,"60225,956",true
6,"9189",1481,59479,"7404",1479,59426,"61072,992",true
7,"7306",1481,59479,"6504",1481,59479,"48751,109",false
8,"6086",1481,59479,"6086",1481,59479,"45188,731",false
9,"20160",1481,59479,"9194",1467,58866,"52554,53",true
10,"22025",1481,59479,"22025",1481,59479,"60887,031",false
11,"33907",1481,59479,"11417",1481,59441,"60351,992",true
12,"13399",1481,59479,"7522",1481,59502,"51982,227",true
13,"6117",1481,59479,"6117",1481,59479,"50333,197",false
14,"8441",1481,59479,"7229",1481,59475,"46499,191",true
15,"15487",1481,59479,"15487",1481,59479,"50068,254",false
16,"22776",1481,59479,"22776",1481,59479,"60589,817",false
17,"12578",1481,59479,"12578",1481,59479,"52441,806",false
18,"15563",1481,59479,"13960",1481,59479,"50063,354",false
19,"6031",1481,59479,"6031",1481,59479,"43978,606",false
20,"6035",1481,59479,"6035",1481,59479,"52223,914",false
21,"64107",1481,59479,"64107",1481,59479,"60114,92",false
22,"8158",1481,59479,"8158",1481,59479,"46474,782",false
23,"27990",1481,59479,"27990",1481,59479,"60390,438",false
24,"13755",1481,59479,"13755",1481,59479,"50090,652",false
25,"6144",1481,59479,"6144",1481,59479,"45858,43",false
26,"11559",1481,59479,"11559",1481,59479,"52210,644",false
27,"21860",1481,59479,"21860",1481,59479,"60146,476",false
28,"14861",1481,59479,"10448",1481,59439,"50290,061",true
29,"6265",1481,59479,"6265",1481,59479,"52313,434",false
30,"26558",1481,59479,"26558",1481,59479,"60351,155",false
31,"20366",1481,59479,"20366",1481,59479,"49892,503",false
32,"23357",1481,59479,"23357",1481,59479,"60270,222",false
33,"8218",1481,59479,"6424",1481,59420,"46071,362",true
34,"11715",1481,59479,"11715",1481,59479,"52103,938",false
35,"40884",1481,59479,"40884",1481,59479,"60122,522",false
36,"24707",1481,59479,"10138",1481,59479,"50119,429",false
37,"93280",1481,59479,"19469",1481,59417,"59639,243",true
38,"90350",1481,59479,"22099",1481,59479,"52266,503",false
39,"64304",1481,59479,"25685",1481,59479,"50477,707",false
40,"9222",1481,59479,"9222",1481,59479,"52254,963",false
41,"35582",1481,59479,"21796",1481,59458,"59940,127",true
42,"98128",1481,59479,"11310",1481,59479,"49892,809",false
43,"19412",1481,59479,"19412",1481,59479,"52113,408",false
44,"47384",1481,59479,"11112",1481,59421,"60172,098",true
45,"6069",1481,59479,"6069",1481,59479,"46122,297",false
46,"6117",1481,59479,"6117",1481,59479,"50333,197",false
47,"21194",1481,59479,"21194",1481,59479,"60244,983",false
48,"13614",1481,59479,"10174",1481,59403,"52281,735",true
49,"15780",1481,59479,"15780",1481,59479,"52293,121",false
50,"29153",1481,59479,"15742",1481,59479,"60450,793",false
51,"7465",1481,59479,"7465",1481,59479,"46475,406",false
52,"8573",1481,59479,"8573",1481,59479,"49642,382",false
53,"6111",1481,59479,"6111",1481,59479,"60784,507",false
54,"6215",1481,59479,"6060",1481,59474,"51556,803",true
55,"12994",1481,59479,"12994",1481,59479,"61056,498",false
56,"7744",1481,59479,"7744",1481,59479,"46190,503",false
57,"11348",1481,59479,"11348",1481,59479,"50315,485",false
58,"25361",1481,59479,"25361",1481,59479,"59933,845",false
59,"18605",1481,59479,"18605",1481,59479,"52141,837",false
