sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"6337",1481,59479,"6337",1481,59479,"373,862",false
1,"6412",1481,59479,"6412",1481,59479,"371,704",false
2,"6206",1481,59479,"6206",1481,59479,"354,044",false
3,"6190",1481,59479,"6190",1481,59479,"363,189",false
4,"6227",1481,59479,"6227",1481,59479,"357,017",false
5,"6181",1481,59479,"6181",1481,59479,"363,276",false
6,"6247",1481,59479,"6247",1481,59479,"373,98",false
7,"6322",1481,59479,"6322",1481,59479,"400,715",false
8,"6828",1481,59479,"6828",1481,59479,"378,963",false
9,"6574",1481,59479,"6574",1481,59479,"375,485",false
10,"6180",1481,59479,"6180",1481,59479,"382,955",false
11,"6164",1481,59479,"6164",1481,59479,"388,572",false
12,"6312",1481,59479,"6312",1481,59479,"398,328",false
13,"6283",1481,59479,"6283",1481,59479,"390,539",false
14,"6281",1481,59479,"6281",1481,59479,"393,914",false
15,"6268",1481,59479,"6268",1481,59479,"393,102",false
16,"6390",1481,59479,"6390",1481,59479,"408,225",false
17,"6539",1481,59479,"6539",1481,59479,"402,691",false
18,"6502",1481,59479,"6502",1481,59479,"408,027",false
19,"6357",1481,59479,"6357",1481,59479,"399,364",false
20,"6369",1481,59479,"6369",1481,59479,"403,976",false
21,"6431",1481,59479,"6431",1481,59479,"403,009",false
22,"6200",1481,59479,"6200",1481,59479,"395,646",false
23,"6303",1481,59479,"6303",1481,59479,"409,933",false
24,"6263",1481,59479,"6263",1481,59479,"418,849",false
25,"6232",1481,59479,"6232",1481,59479,"405,765",false
26,"6630",1481,59479,"6630",1481,59479,"406,476",false
27,"6239",1481,59479,"6239",1481,59479,"420,212",false
28,"6487",1481,59479,"6487",1481,59479,"410,087",false
29,"6543",1481,59479,"6543",1481,59479,"420,267",false
30,"6224",1481,59479,"6224",1481,59479,"419,489",false
31,"6346",1481,59479,"6346",1481,59479,"422,933",false
32,"6361",1481,59479,"6361",1481,59479,"425,345",false
33,"6369",1481,59479,"6369",1481,59479,"426,789",false
34,"6589",1481,59479,"6589",1481,59479,"423,955",false
35,"6293",1481,59479,"6293",1481,59479,"450,169",false
36,"6275",1481,59479,"6275",1481,59479,"431,933",false
37,"8453",1481,59479,"7139",1480,59397,"375,635",true
38,"6408",1481,59479,"6408",1481,59479,"439,675",false
39,"6297",1481,59479,"6297",1481,59479,"441,879",false
40,"6379",1481,59479,"6379",1481,59479,"459,525",false
41,"6513",1481,59479,"6513",1481,59479,"464,735",false
42,"6450",1481,59479,"6450",1481,59479,"452,293",false
43,"6460",1481,59479,"6460",1481,59479,"460,952",false
44,"6826",1481,59479,"6826",1481,59479,"458,278",false
45,"6497",1481,59479,"6497",1481,59479,"449,776",false
46,"6294",1481,59479,"6294",1481,59479,"455,192",false
47,"6834",1481,59479,"6834",1481,59479,"470,842",false
48,"6740",1481,59479,"6740",1481,59479,"454,492",false
49,"6298",1481,59479,"6298",1481,59479,"461,065",false
50,"6452",1481,59479,"6452",1481,59479,"464,458",false
51,"6461",1481,59479,"6461",1481,59479,"467,402",false
52,"6666",1481,59479,"6666",1481,59479,"487,542",false
53,"6446",1481,59479,"6446",1481,59479,"487,458",false
54,"6497",1481,59479,"6497",1481,59479,"480,606",false
55,"9981",1481,59479,"6794",1480,59397,"412,449",true
56,"6455",1481,59479,"6455",1481,59479,"477,195",false
57,"6557",1481,59479,"6557",1481,59479,"491,869",false
58,"6424",1481,59479,"6424",1481,59479,"483,115",false
59,"6548",1481,59479,"6548",1481,59479,"498,117",false
