trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,6261,1481,59479,6182,1480,59401,"5416,906",true
1,7905,1481,59479,5958,1480,59439,"8872,785",true
2,6021,1481,59479,6021,1481,59479,"9201,037",false
3,6912,1481,59479,6293,1477,59204,"8649,87",true
4,6142,1481,59479,6142,1481,59479,"9845,124",false
5,6226,1481,59479,6175,1481,59450,"10096,591",true
6,7181,1481,59479,6614,1478,59284,"10449,095",true
7,6656,1481,59479,6656,1481,59479,"8843,14",false
8,7849,1481,59479,7079,1479,59379,"10078,648",true
9,7341,1481,59479,7036,1479,59344,"10910,379",true
10,7454,1481,59479,6931,1479,59400,"11347,521",true
11,6657,1481,59479,5931,1480,59369,"7191,292",true
12,8116,1481,59479,5986,1477,59301,"7222,186",true
13,6094,1481,59479,5957,1475,59152,"7121,305",true
14,6173,1481,59479,5863,1476,59296,"6985,103",true
15,5960,1481,59479,5892,1476,59247,"6830,572",true
16,6408,1481,59479,5883,1477,59281,"6885,772",true
17,5908,1481,59479,5903,1481,59470,"6810,674",true
18,5964,1481,59479,5888,1479,59330,"6890,847",true
19,6304,1481,59479,5914,1478,59302,"6874,967",true
20,8136,1481,59479,5956,1478,59305,"7216,973",true
21,6691,1481,59479,6004,1477,59189,"7383,755",true
22,8041,1481,59479,5937,1475,59120,"7117,352",true
23,6419,1481,59479,5937,1477,59244,"6944,745",true
24,6021,1481,59479,5940,1464,58721,"6863,505",true
25,6324,1481,59479,5938,1474,59108,"7024,249",true
26,5972,1481,59479,5932,1480,59438,"7030,797",true
27,6002,1481,59479,5951,1477,59255,"7034,703",true
28,6032,1481,59479,5962,1474,59226,"10074,856",true
29,6555,1481,59479,5949,1469,58896,"7412,79",true
30,7993,1481,59479,5976,1476,59122,"7196,188",true
31,6286,1481,59479,5946,1479,59371,"7285,89",true
32,5996,1481,59479,5955,1479,59330,"7107,67",true
33,5971,1481,59479,5915,1480,59436,"7060,512",true
34,5937,1481,59479,5901,1479,59415,"6989,115",true
35,6281,1481,59479,5927,1481,59436,"7016,397",true
36,5933,1481,59479,5925,1480,59413,"7033,958",true
37,5965,1481,59479,5937,1480,59422,"7021,237",true
38,5952,1481,59479,5925,1480,59394,"10373,044",true
39,6394,1481,59479,5971,1481,59435,"7640,832",true
40,6897,1481,59479,5967,1478,59220,"7149,866",true
41,6723,1481,59479,6003,1480,59387,"7147,513",true
42,8378,1481,59479,6036,1473,59035,"7155,533",true
43,6651,1481,59479,5930,1473,59022,"7180,851",true
44,6118,1481,59479,5890,1478,59324,"6966,783",true
45,6255,1481,59479,5910,1477,59275,"7016,748",true
46,5971,1481,59479,5926,1480,59417,"7048,473",true
47,5970,1481,59479,5942,1480,59394,"7074,27",true
48,5973,1481,59479,5963,1479,59322,"11670,782",true
49,6120,1481,59479,5906,1477,59340,"7524,498",true
50,7475,1481,59479,5969,1475,59139,"7267,725",true
51,6485,1481,59479,5987,1476,59277,"7352,426",true
52,6909,1481,59479,6024,1475,59151,"7385,309",true
53,7619,1481,59479,5991,1476,59216,"7171,329",true
54,6089,1481,59479,5950,1479,59424,"7018,359",true
55,6302,1481,59479,5946,1470,59182,"7078,085",true
56,6023,1481,59479,5937,1477,59304,"7044,556",true
57,6007,1481,59479,5969,1480,59389,"7017,227",true
58,6015,1481,59479,5968,1480,59440,"9711,626",true
59,6268,1481,59479,5917,1478,59335,"7424,874",true
60,7622,1481,59479,6011,1480,59400,"8062,909",true
