Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
underscore;Original;-;1;0;16161;0;19481;0;0
underscore;RD;0;1;0;16196;0.0021657075676010146;19463;0.0009239772085621888;0
underscore;RD;1;1;0;16196;0.0021657075676010146;19463;0.0009239772085621888;0
underscore;RD;3;1;0;16159;0.0001237547181486294;19477;0.0002053282685693753;0
underscore;RD;5;1;0;16145;0.0009900377451890353;19447;0.0017452902828396899;0
underscore;RD;6;1;0;16156;0.00030938679537157354;19479;0.00010266413428468765;0
underscore;RD;8;1;0;16161;0;19481;0;0
underscore;RD;9;1;0;16161;0;19481;0;0
underscore;RD;10;1;0;16137;0.001485056617783553;19456;0.0012833016785585955;0
underscore;RD;11;1;0;16144;0.00105191510426335;19454;0.0013859658128432832;0
underscore;RD;12;1;0;16160;0.0000618773590743147;19441;0.002053282685693753;0
underscore;RD;13;1;0;16108;0.0032795000309386794;19438;0.0022072788871207844;0
underscore;RD;14;1;0;16145;0.0009900377451890353;19477;0.0002053282685693753;0
underscore;RD;15;1;0;16159;0.0001237547181486294;19478;0.00015399620142703146;0
underscore;RD;16;1;0;16161;0;19481;0;0
underscore;RD;17;1;0;16159;0.0001237547181486294;19478;0.00015399620142703146;0
underscore;RD;18;1;0;16165;0.0002475094362972588;19453;0.001437297879985627;0
underscore;RD;19;1;0;16165;0.0002475094362972588;19453;0.001437297879985627;0
underscore;RD;20;1;0;16162;0.0000618773590743147;19478;0.00015399620142703146;0
underscore;RD;21;1;0;16135;0.0016088113359321824;19451;0.0015399620142703147;0
underscore;RD;22;1;0;16131;0.0018563207722294413;19448;0.0016939582156973462;0
underscore;RD;23;1;0;16096;0.004022028339830456;19389;0.004722550177095631;0
underscore;RD;24;1;0;16113;0.002970113235567106;19415;0.0033879164313946925;0
underscore;RD;25;1;0;16137;0.001485056617783553;19460;0.0010779734099892202;0
underscore;RD;26;1;0;16147;0.000866283027040406;19456;0.0012833016785585955;0
underscore;RD;27;1;0;16001;0.009900377451890353;19319;0.008315794877059699;0
underscore;RD;28;1;0;16145;0.0009900377451890353;19437;0.002258610954263128;0
underscore;RD;29;1;0;16145;0.0009900377451890353;19437;0.002258610954263128;0
underscore;GA;5;1;0;16161;0;19481;0;0
underscore;GA;6;1;0;16126;0.0021657075676010146;19457;0.0012319696114162517;0
underscore;GA;9;1;0;15898;0.01627374543654477;19191;0.014886299471279708;0
underscore;GA;11;1;0;16088;0.004517047212424974;19428;0.002720599558544223;0
underscore;GA;12;1;0;16184;0.0014231792587092384;19492;0.000564652738565782;0
underscore;GA;14;1;0;16157;0.0002475094362972588;19479;0.00010266413428468765;0
underscore;GA;28;1;0;16161;0;19481;0;0
