trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;832;209;6883;688;209;6857;1582,358;true
1;737;209;6883;702;209;6883;1379,692;false
2;704;209;6883;702;205;6745;1325,31;true
3;692;209;6883;692;209;6883;1274,883;false
4;686;209;6883;686;209;6883;1290,469;false
5;688;209;6883;688;209;6883;1331,249;false
6;703;209;6883;703;209;6883;1368,559;false
7;749;209;6883;692;208;6842;1342,338;true
8;713;209;6883;713;209;6883;1308,195;false
9;695;209;6883;695;209;6883;1363,524;false
10;702;209;6883;702;209;6883;1336,769;false
11;715;209;6883;712;208;6868;1345,941;true
12;720;209;6883;720;209;6883;1330,505;false
13;708;209;6883;708;209;6883;1310,37;false
14;704;209;6883;698;209;6883;1336,619;false
15;709;209;6883;700;209;6883;1291,473;false
16;730;209;6883;702;209;6883;1313,896;false
17;696;209;6883;694;208;6848;1299,025;true
18;714;209;6883;714;209;6883;1261,948;false
19;710;209;6883;710;209;6883;1272,907;false
20;719;209;6883;703;209;6883;1271,297;false
21;716;209;6883;716;209;6883;1264,459;false
22;690;209;6883;690;209;6883;1262,356;false
23;693;209;6883;693;209;6883;1245,852;false
24;710;209;6883;697;209;6883;1250,824;false
25;692;209;6883;692;209;6883;1287,762;false
26;701;209;6883;701;209;6883;1247,382;false
27;697;209;6883;697;209;6883;1267,718;false
28;697;209;6883;697;209;6883;1249,724;false
29;783;209;6883;681;209;6882;1315,185;true
30;744;209;6883;720;209;6883;1312,865;false
31;699;209;6883;699;209;6883;1223,833;false
32;748;209;6883;716;209;6875;1207,285;true
33;691;209;6883;691;209;6883;1205,46;false
34;670;209;6883;670;209;6883;1216,455;false
35;666;209;6883;666;209;6883;1322,805;false
36;669;209;6883;669;209;6883;1215,977;false
37;675;209;6883;675;209;6883;1197,225;false
38;668;209;6883;668;209;6883;1225,586;false
39;666;209;6883;666;209;6883;1244,868;false
40;676;209;6883;676;209;6883;1227,814;false
41;669;209;6883;669;209;6883;1232,136;false
42;671;209;6883;671;209;6883;1369,765;false
43;680;209;6883;680;209;6883;1226,402;false
44;673;209;6883;673;209;6883;1221,317;false
45;678;209;6883;678;209;6883;1242,08;false
46;678;209;6883;678;209;6883;1239,8;false
47;668;209;6883;668;209;6883;1391,862;false
48;706;209;6883;688;209;6883;1224,269;false
49;743;209;6883;716;209;6883;1474,669;false
50;693;209;6883;693;209;6883;1347,183;false
51;690;209;6883;690;209;6883;1357,036;false
52;682;209;6883;681;208;6840;1347,747;true
53;703;209;6883;688;209;6883;1844,916;false
54;691;209;6883;691;209;6883;1665,952;false
55;680;209;6883;680;209;6883;1955,831;false
56;764;209;6883;764;209;6883;1811,231;false
57;731;209;6883;731;209;6883;1784,074;false
58;757;209;6883;757;209;6883;1687,748;false
59;722;209;6883;722;209;6883;1472,425;false
