trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;743;209;6883;705;209;6863;10,626;true
1;686;209;6883;677;209;6861;21,538;true
2;672;209;6883;672;209;6883;10,622;false
3;685;209;6883;685;209;6883;9,434;false
4;674;209;6883;674;209;6883;10,382;false
5;764;209;6883;691;208;6863;18,088;true
6;673;209;6883;673;209;6883;8,435;false
7;674;209;6883;674;209;6883;8,41;false
8;669;209;6883;669;209;6883;8,566;false
9;669;209;6883;669;209;6883;8,768;false
10;672;209;6883;672;209;6883;9,402;false
11;674;209;6883;674;209;6883;8,47;false
12;678;209;6883;678;209;6883;8,387;false
13;673;209;6883;673;209;6883;9,622;false
14;675;209;6883;675;209;6883;8,411;false
15;670;209;6883;670;209;6883;8,447;false
16;672;209;6883;672;209;6883;9,526;false
17;670;209;6883;670;209;6883;8,518;false
18;672;209;6883;672;209;6883;8,419;false
19;676;209;6883;676;209;6883;9,393;false
20;679;209;6883;679;209;6883;10,405;false
21;674;209;6883;674;209;6883;8,425;false
22;675;209;6883;675;209;6883;8,399;false
23;697;209;6883;697;209;6883;8,401;false
24;671;209;6883;671;209;6883;14,068;false
25;688;209;6883;686;209;6863;11,389;true
26;668;209;6883;668;209;6883;11,616;false
27;690;209;6883;690;209;6883;11,833;false
28;674;209;6883;674;209;6883;9,42;false
29;676;209;6883;676;209;6883;11,912;false
30;672;209;6883;672;209;6883;10,56;false
31;677;209;6883;677;209;6883;10,611;false
32;689;209;6883;685;208;6863;11,38;true
33;759;209;6883;688;209;6861;13,984;true
34;676;209;6883;676;209;6883;13,704;false
35;675;209;6883;675;209;6883;10,674;false
36;693;209;6883;693;209;6883;13,518;false
37;672;209;6883;672;209;6883;12,515;false
38;679;209;6883;679;209;6883;9,802;false
39;674;209;6883;674;209;6883;11,464;false
40;676;209;6883;676;209;6883;9,497;false
41;677;209;6883;677;209;6883;11,475;false
42;676;209;6883;676;209;6883;10,491;false
43;693;209;6883;693;209;6883;13,567;false
44;671;209;6883;671;209;6883;12,474;false
45;678;209;6883;678;209;6883;11,619;false
46;683;209;6883;683;209;6883;10,557;false
47;680;209;6883;680;209;6883;12,497;false
48;682;209;6883;682;209;6883;12,453;false
49;676;209;6883;676;209;6883;12,425;false
50;731;209;6883;731;209;6883;12,615;false
51;675;209;6883;675;209;6883;13,179;false
52;673;209;6883;673;209;6883;13,969;false
53;678;209;6883;678;209;6883;12,497;false
54;680;209;6883;680;209;6883;12,497;false
55;677;209;6883;677;209;6883;13,451;false
56;675;209;6883;675;209;6883;12,519;false
57;672;209;6883;672;209;6883;13,507;false
58;679;209;6883;679;209;6883;12,557;false
59;718;209;6883;718;209;6883;12,511;false
