sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"772",209,6883,"673",204,6793,"832,19",true
1,"675",209,6883,"675",209,6883,"869,934",false
2,"675",209,6883,"675",209,6883,"922,231",false
3,"673",209,6883,"673",209,6883,"992,775",false
4,"678",209,6883,"677",206,6765,"1049,899",true
5,"674",209,6883,"673",209,6879,"1112,105",true
6,"680",209,6883,"675",203,6670,"1165,152",true
7,"710",209,6883,"704",209,6879,"1365,278",true
8,"732",209,6883,"729",209,6880,"1908,322",true
9,"748",209,6883,"720",209,6879,"1874,425",true
10,"746",209,6883,"730",202,6800,"1895,491",true
11,"807",209,6883,"736",207,6745,"2136,356",true
12,"830",209,6883,"756",209,6836,"2281,184",true
13,"943",209,6883,"758",208,6822,"2301,279",true
14,"930",209,6883,"754",206,6795,"2449,988",true
15,"994",209,6883,"755",204,6569,"2573,265",true
16,"787",209,6883,"766",209,6879,"2855,233",true
17,"776",209,6883,"776",209,6883,"2956,545",false
18,"1117",209,6883,"800",204,6600,"3168,518",true
19,"742",209,6883,"742",209,6883,"3180,227",false
20,"971",209,6883,"843",208,6842,"3292,678",true
21,"917",209,6883,"782",208,6848,"3669,145",true
22,"942",209,6883,"793",208,6855,"3634,931",true
23,"1093",209,6883,"808",209,6870,"3656,712",true
24,"1090",209,6883,"965",208,6838,"3999,953",true
25,"968",209,6883,"873",209,6877,"4348,319",true
26,"943",209,6883,"674",208,6703,"2382,496",true
27,"728",209,6883,"674",205,6796,"2149,791",true
28,"824",209,6883,"674",208,6866,"2021,845",true
29,"728",209,6883,"694",208,6854,"2540,759",true
30,"693",209,6883,"691",209,6879,"2525,321",true
31,"801",209,6883,"711",208,6713,"2054,82",true
32,"681",209,6883,"681",209,6883,"2244,979",false
33,"706",209,6883,"696",209,6859,"2270,852",true
34,"766",209,6883,"696",205,6719,"2483,866",true
35,"888",209,6883,"696",209,6847,"2576,952",true
36,"800",209,6883,"702",206,6815,"2930,375",true
37,"1368",209,6883,"716",206,6762,"3227,263",true
38,"787",209,6883,"704",204,6685,"2947,664",true
39,"771",209,6883,"707",201,6786,"3592,678",true
40,"732",209,6883,"732",209,6883,"3256,975",false
41,"877",209,6883,"739",195,6476,"3877,302",true
42,"914",209,6883,"765",208,6842,"3681,754",true
43,"1114",209,6883,"761",208,6783,"4448,443",true
44,"1354",209,6883,"772",204,6750,"5061,944",true
45,"986",209,6883,"877",202,6551,"4906,259",true
46,"911",209,6883,"811",208,6833,"4516,58",true
47,"781",209,6883,"781",209,6883,"5217,153",false
48,"1104",209,6883,"810",208,6777,"5081,641",true
49,"1470",209,6883,"815",208,6852,"5175,021",true
50,"1161",209,6883,"798",204,6701,"5989,24",true
51,"909",209,6883,"880",209,6868,"6407,245",true
52,"874",209,6883,"874",209,6883,"6197,061",false
53,"1016",209,6883,"857",209,6878,"5994,524",true
54,"923",209,6883,"923",209,6883,"5400,741",false
55,"1040",209,6883,"967",209,6861,"6677,954",true
56,"1016",209,6883,"1016",209,6883,"6570,412",false
57,"1063",209,6883,"1063",209,6883,"7638,778",false
58,"1410",209,6883,"1177",206,6794,"7766,967",true
59,"1393",209,6883,"1133",209,6876,"8305,694",true
