Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
uuid;Original;-;1;0;4029;0;3707;0;0
uuid;RD;0;1;0;4011;0.004467609828741623;3665;0.01132991637442676;0
uuid;RD;4;1;0;3958;0.017622238768925293;3656;0.013757755597518209;0
uuid;RD;5;1;0;4026;0.0007446016381236039;3703;0.0010790396547073105;0
uuid;RD;6;1;0;4002;0.006701414743112435;3690;0.004585918532506069;0
uuid;RD;7;1;0;4027;0.0004964010920824026;3704;0.0008092797410304828;0
uuid;RD;8;1;0;4027;0.0004964010920824026;3703;0.0010790396547073105;0
uuid;RD;9;1;0;4022;0.001737403822288409;3697;0.002697599136768276;0
uuid;RD;10;1;0;4024;0.0012410027302060065;3675;0.008632317237658484;0
uuid;RD;11;1;0;4012;0.004219409282700422;3677;0.008092797410304829;0
uuid;RD;12;1;0;3981;0.011913626209977662;3666;0.011060156460749933;0
uuid;RD;13;1;0;3973;0.013899230578307272;3665;0.01132991637442676;0
uuid;RD;14;1;0;3997;0.007942417473318442;3654;0.014297275424871863;0
uuid;RD;15;1;0;3881;0.036733680814097794;3647;0.016185594820609658;0
uuid;RD;16;1;0;4022;0.001737403822288409;3695;0.0032371189641219314;0
uuid;RD;18;1;0;3841;0.046661702655745846;3636;0.01915295387105476;0
uuid;RD;20;1;0;4003;0.006453214197071234;3678;0.007823037496628;0
uuid;RD;21;1;0;4002;0.006701414743112435;3690;0.004585918532506069;0
uuid;RD;22;1;0;4013;0.003971208736659221;3676;0.008362557323981657;0
uuid;RD;23;1;0;4040;0.002730206006453214;3717;0.002697599136768276;0
uuid;RD;24;1;0;4034;0.0012410027302060065;3705;0.0005395198273536552;0
uuid;RD;25;1;0;4038;0.0022338049143708115;3704;0.0008092797410304828;0
uuid;RD;26;1;0;3865;0.04070488955075701;3541;0.044780145670353384;0
uuid;RD;27;1;0;3997;0.007942417473318442;3646;0.016455354734286484;0
uuid;RD;28;1;0;4046;0.004219409282700422;3728;0.00566495818721338;0
uuid;RD;29;1;0;4019;0.002482005460412013;3680;0.007283517669274346;0
uuid;GA;0;1;0;3749;0.06949615289153636;3526;0.0488265443755058;0
uuid;GA;2;1;0;3975;0.01340282948622487;3642;0.017534394388993794;0
uuid;GA;7;1;0;4005;0.005956813104988831;3683;0.006474237928243863;0
uuid;GA;11;1;0;4015;0.003474807644576818;3701;0.0016185594820609657;0
uuid;GA;17;1;0;4002;0.006701414743112435;3690;0.004585918532506069;0
uuid;GA;29;1;0;4028;0.0002482005460412013;3707;0;0
uuid;HC;0;1;0;4011;0.004467609828741623;3687;0.005395198273536552;0
uuid;HC;1;1;0;4009;0.004964010920824026;3696;0.002967359050445104;0
uuid;HC;5;1;0;4037;0.0019856043683296105;3714;0.0018883193957377933;0
uuid;HC;25;1;0;4011;0.004467609828741623;3687;0.005395198273536552;0
