trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;185178;526;22401;4002;523;22302;22871,6;true
1;13184;526;22401;13184;526;22401;33690,957;false
2;91814;526;22401;21072;526;22401;28195,468;false
3;72240;526;22401;23853;526;22403;26953,556;true
4;6262;526;22401;6262;526;22401;33391,79;false
5;7046;526;22401;7046;526;22401;33816,508;false
6;8975;526;22401;8975;526;22401;34072,085;false
7;3647;526;22401;3647;526;22401;18406,567;false
8;15708;526;22401;15708;526;22401;27329,587;false
9;7725;526;22401;7725;526;22401;32005,525;false
10;4898;526;22401;4898;526;22401;39341,572;false
11;12189;526;22401;12189;526;22401;25424,377;false
12;8026;526;22401;8026;526;22401;33098,531;false
13;7942;526;22401;7942;526;22401;36637,642;false
14;3679;526;22401;3679;526;22401;34783,119;false
15;8590;526;22401;8590;526;22401;32869,259;false
16;8957;526;22401;8957;526;22401;29259,778;false
17;138449;526;22401;138449;526;22401;26075,764;false
18;6261;526;22401;6261;526;22401;25785,345;false
19;18997;526;22401;18997;526;22401;28658,338;false
20;15197;526;22401;13634;526;22401;24389,347;false
21;269807;526;22401;127203;526;22401;26013,961;false
22;56305;526;22401;35174;525;22375;29248,845;true
23;11083;526;22401;11083;526;22401;28483,127;false
24;6779;526;22401;6779;526;22401;40120,168;false
25;12484;526;22401;12484;526;22401;34951,283;false
26;19650;526;22401;19650;526;22401;30032,091;false
27;3406;526;22401;3406;526;22401;22032,32;false
28;249152;526;22401;43031;526;22403;30111,556;true
29;5212;526;22401;5212;526;22401;33937,854;false
30;396570;526;22401;142444;526;22401;28904,599;false
31;37051;526;22401;8753;526;22435;22581,147;true
32;36541;526;22401;36541;526;22401;23934,675;false
33;369663;526;22401;74561;526;22401;26746,599;false
34;3813;526;22401;3813;526;22401;23011,385;false
35;11968;526;22401;11968;526;22401;30312,047;false
36;8957;526;22401;8957;526;22401;29259,778;false
37;3724;526;22401;3724;526;22401;40912,784;false
38;15806;526;22401;14370;526;22402;19663,402;true
39;4116;526;22401;4116;526;22401;25217,964;false
40;15341;526;22401;15341;526;22401;29747,665;false
41;4313;526;22401;500;526;22391;24574,48;true
42;9172;526;22401;9172;526;22401;34161,713;false
43;28267;526;22401;28267;526;22401;20001,485;false
44;3438;526;22401;3438;526;22401;28215,978;false
45;4058;526;22401;4058;526;22401;37591,801;false
46;16329;526;22401;16329;526;22401;21103,054;false
47;9164;526;22401;9164;526;22401;32448,14;false
48;6563;526;22401;6563;526;22401;41698,87;false
49;5449;526;22401;5449;526;22401;39458,951;false
50;12810;526;22401;12810;526;22401;28869,021;false
51;3797;526;22401;3797;526;22401;39209,714;false
52;8591;526;22401;8591;526;22401;32224,978;false
53;5423;526;22401;5423;526;22401;34838,171;false
54;5635;526;22401;5635;526;22401;39560,574;false
55;46098;526;22401;46098;526;22401;21159,529;false
56;32062;526;22401;32062;526;22401;24442,192;false
57;25816;526;22401;8161;526;22401;37219,01;false
58;24143;526;22401;24143;526;22401;40722,883;false
59;10101;526;22401;10101;526;22401;35472,298;false
