sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"36748",526,22401,"36748",526,22401,"376,131",false
1,"3984",526,22401,"3984",526,22401,"390,127",false
2,"4872",526,22401,"4872",526,22401,"495,202",false
3,"3553",526,22401,"3553",526,22401,"434,698",false
4,"4925",526,22401,"4925",526,22401,"467,57",false
5,"4452",526,22401,"4452",526,22401,"502,21",false
6,"7709",526,22401,"7709",526,22401,"464,655",false
7,"4949",526,22401,"4949",526,22401,"482,844",false
8,"4067",526,22401,"4067",526,22401,"456,507",false
9,"3585",526,22401,"3585",526,22401,"483,505",false
10,"4281",526,22401,"4281",526,22401,"480,275",false
11,"4218",526,22401,"4218",526,22401,"422,508",false
12,"9104",526,22401,"9104",526,22401,"474,556",false
13,"4248",526,22401,"4248",526,22401,"498,652",false
14,"6917",526,22401,"6917",526,22401,"509,512",false
15,"8783",526,22401,"8783",526,22401,"479,412",false
16,"4251",526,22401,"4251",526,22401,"444,039",false
17,"8646",526,22401,"8646",526,22401,"483,713",false
18,"5095",526,22401,"5095",526,22401,"489,961",false
19,"5190",526,22401,"5190",526,22401,"476,296",false
20,"5412",526,22401,"5412",526,22401,"487,899",false
21,"4859",526,22401,"4859",526,22401,"438,774",false
22,"5626",526,22401,"5626",526,22401,"572,702",false
23,"4802",526,22401,"4802",526,22401,"465,414",false
24,"9936",526,22401,"9936",526,22401,"446,719",false
25,"9076",526,22401,"9076",526,22401,"463,311",false
26,"4863",526,22401,"4863",526,22401,"555,023",false
27,"4667",526,22401,"4667",526,22401,"472,629",false
28,"8928",526,22401,"8928",526,22401,"481,195",false
29,"10457",526,22401,"10457",526,22401,"409,777",false
30,"9308",526,22401,"9308",526,22401,"605,753",false
31,"7954",526,22401,"7954",526,22401,"481,102",false
32,"9906",526,22401,"9906",526,22401,"439,04",false
33,"3678",526,22401,"3678",526,22401,"496,626",false
34,"11860",526,22401,"11860",526,22401,"436,071",false
35,"10267",526,22401,"10267",526,22401,"458,95",false
36,"4465",526,22401,"4465",526,22401,"453,462",false
37,"8512",526,22401,"8512",526,22401,"453,359",false
38,"6904",526,22401,"6904",526,22401,"463,278",false
39,"6650",526,22401,"6650",526,22401,"452,196",false
40,"9055",526,22401,"9055",526,22401,"454,672",false
41,"10131",526,22401,"10131",526,22401,"453,205",false
42,"4852",526,22401,"4852",526,22401,"453,357",false
43,"7584",526,22401,"7584",526,22401,"483,391",false
44,"5862",526,22401,"5862",526,22401,"434,26",false
45,"6244",526,22401,"6244",526,22401,"453,208",false
46,"6680",526,22401,"6680",526,22401,"467,191",false
47,"6665",526,22401,"6665",526,22401,"450,061",false
48,"10762",526,22401,"10762",526,22401,"448,706",false
49,"5770",526,22401,"5770",526,22401,"430,044",false
50,"8483",526,22401,"8483",526,22401,"443,385",false
51,"9427",526,22401,"9427",526,22401,"451,1",false
52,"4866",526,22401,"4866",526,22401,"454,153",false
53,"20303",526,22401,"20303",526,22401,"480,647",false
54,"8321",526,22401,"8321",526,22401,"423,084",false
55,"6001",526,22401,"6001",526,22401,"471,75",false
56,"5497",526,22401,"5497",526,22401,"467,094",false
57,"7443",526,22401,"7443",526,22401,"452,007",false
58,"9574",526,22401,"9574",526,22401,"440,919",false
59,"6337",526,22401,"6337",526,22401,"473,907",false
